Round,RequestRate,Timestamp,ActualRPS,TotalRequests,SuccessCount,ErrorCount,SuccessRate,ErrorRate,AvgResponseTime,MinResponseTime,MaxResponseTime,MedianResponseTime,P50ResponseTime,P90ResponseTime,P95ResponseTime,P99ResponseTime,ThroughputRPS,TestDurationSeconds,StatusCode200,StatusCode400,StatusCode500,OtherStatusCodes
1,1,2025-06-09 17:39:49,1.00,60,60,0,1.0000,0.0000,29.78,19,111,27,27,36,40,85,1.00,60.11,60,0,0,0
2,2,2025-06-09 17:40:54,2.00,120,120,0,1.0000,0.0000,32.24,19,328,29,29,34,37,117,2.00,60.08,120,0,0,0
3,5,2025-06-09 17:41:59,4.97,298,298,0,1.0000,0.0000,33.13,14,483,27,27,35,53,205,4.97,60.01,298,0,0,0
4,10,2025-06-09 17:43:05,9.83,590,590,0,1.0000,0.0000,54.63,15,1214,27,27,62,108,956,9.83,60.05,590,0,0,0
5,20,2025-06-09 17:44:10,19.25,1156,1156,0,1.0000,0.0000,120.59,16,1649,53,53,277,485,1059,19.25,60.06,1156,0,0,0
6,40,2025-06-09 17:45:15,39.31,2360,2360,0,1.0000,0.0000,79.73,18,1362,39,39,126,332,819,39.31,60.04,2360,0,0,0
7,60,2025-06-09 17:46:21,49.07,2950,2950,0,1.0000,0.0000,63.88,13,937,42,42,92,202,503,49.07,60.12,2950,0,0,0
8,80,2025-06-09 17:47:26,49.09,2950,2950,0,1.0000,0.0000,64.01,18,1161,36,36,78,233,622,49.09,60.10,2950,0,0,0
9,100,2025-06-09 17:48:31,49.22,2958,2958,0,1.0000,0.0000,59.97,18,737,39,39,81,196,514,49.22,60.10,2958,0,0,0
10,200,2025-06-09 17:50:14,123.15,12000,12000,0,1.0000,0.0000,808.50,84,5704,648,648,1527,1974,3088,123.15,97.45,12000,0,0,0
11,400,2025-06-09 17:52:46,162.74,24000,24000,0,1.0000,0.0000,612.71,92,3335,565,565,920,1073,1500,162.74,147.48,24000,0,0,0
12,600,2025-06-09 17:56:17,174.71,36000,36000,0,1.0000,0.0000,570.83,52,2844,524,524,867,1022,1513,174.71,206.06,36000,0,0,0
13,800,2025-06-09 18:00:03,163.52,36100,36100,0,1.0000,0.0000,609.79,74,3467,541,541,985,1182,1795,163.52,220.76,36100,0,0,0
14,1000,2025-06-09 18:03:53,169.67,38190,38190,0,1.0000,0.0000,587.66,99,2591,542,542,876,1028,1449,169.67,225.08,38190,0,0,0
15,2000,2025-06-09 18:15:41,170.67,120000,120000,0,1.0000,0.0000,2340.32,111,9956,2217,2217,3555,4172,5744,170.67,703.12,120000,0,0,0
16,4000,2025-06-09 18:33:38,224.08,240000,240000,0,1.0000,0.0000,2228.19,78,6487,2153,2153,3348,3836,4800,224.08,1071.06,240000,0,0,0
17,6000,2025-06-09 19:00:17,194.48,310000,310000,0,1.0000,0.0000,2567.01,53,9294,2263,2263,4484,5082,6433,194.48,1593.97,310000,0,0,0
18,8000,2025-06-09 19:29:49,123.09,217500,217500,0,1.0000,0.0000,4057.83,200,9055,3956,3956,5724,6194,7106,123.09,1767.04,217500,0,0,0
19,10000,2025-06-09 19:50:17,157.74,192900,192900,0,1.0000,0.0000,3166.83,52,11326,3355,3355,5368,6049,7610,157.74,1222.91,192900,0,0,0
20,20000,2025-06-09 20:38:54,410.71,1185200,1177604,7596,0.9936,0.0064,2433.01,18,30283,2547,2547,3219,3608,4647,410.71,2885.71,1177604,0,6793,803
21,40000,2025-06-09 21:29:29,417.90,1255400,1248668,6732,0.9946,0.0054,2391.29,28,19509,2538,2538,3160,3509,4215,417.90,3004.10,1248668,0,6732,0
22,60000,2025-06-09 22:22:46,411.99,1304300,1300895,3405,0.9974,0.0026,2425.71,39,22678,2547,2547,3250,3638,4725,411.99,3165.87,1300895,0,3405,0
23,80000,2025-06-09 23:10:41,431.02,1225900,1219929,5971,0.9951,0.0049,2318.39,22,21218,2481,2481,3060,3428,4078,431.02,2844.16,1219929,0,5971,0
24,100000,2025-06-09 23:58:59,430.33,1233400,1229645,3755,0.9970,0.0030,2322.07,22,23782,2457,2457,3058,3446,4180,430.33,2866.21,1229645,0,3755,0
25,200000,2025-06-10 00:46:03,432.36,1207700,1206705,995,0.9992,0.0008,2311.39,44,28986,2442,2442,3095,3443,4158,432.36,2793.29,1206705,0,995,0
